id	cluster_name	infomap	central_concept	concepticon_id	concepticon_gloss	family_frequency	language_frequency	word_frequency
2554	infomap_179_LADDER OR STAIRS	179	LADDER OR STAIRS	34	STAIRS	2	32	34
2555	infomap_19_CHIEFTAIN	19	CHIEFTAIN	1569	CHEESE	38	235	267
2556	infomap_121_BODY LOUSE	121	BODY LOUSE	1949	BEDBUG	9	197	206
2557	infomap_178_FOUR DAYS BEFORE NOW	178	FOUR DAYS BEFORE NOW	3278	FOUR DAYS BEFORE NOW	1	8	8
2558	infomap_1_GIVE	1	GIVE	133	WEAVE	70	931	1222
2559	infomap_1_GIVE	1	GIVE	2464	LAY EGGS	2	73	74
2560	infomap_15_LOW	15	LOW	2249	THIN (OF SHAPE OF OBJECT)	77	556	682
2561	infomap_81_ONE TIME	81	ONE TIME	3118	IRON (CLOTHES)	1	18	19
2562	infomap_1_GIVE	1	GIVE	1075	TRAP (PITFALL)	72	649	917
2563	infomap_1_GIVE	1	GIVE	1542	ACCOMPANY	5	118	121
2564	infomap_1_GIVE	1	GIVE	3025	BARN OR SHED	6	159	171
2565	infomap_56_SALTY	56	SALTY	887	BITTER	82	968	1080
2566	infomap_72_MUTE	72	MUTE	2503	LAUNDER	3	20	20
2567	infomap_99_WOMAN	99	WOMAN	962	WOMAN	165	2173	2773
2568	infomap_1_GIVE	1	GIVE	414	CARRY ON HEAD	50	318	362
2569	infomap_71_BAD	71	BAD	1772	ELK	23	114	122
2570	infomap_45_CAT	45	CAT	1891	PUMA	15	55	62
2571	infomap_2_SEED	2	SEED	862	SUGAR	64	649	687
2572	infomap_189_CAULIFLOWER	189	CAULIFLOWER	2843	CAULIFLOWER	1	15	16
2573	infomap_57_PRICE	57	PRICE	2470	DEAR	19	104	136
2574	infomap_3_THAT	3	THAT	1213	YOU	146	1657	2058
2575	infomap_37_HOLE	37	HOLE	205	TROUGH	48	292	370
2576	infomap_1_GIVE	1	GIVE	1101	SUFFER	1	24	52
2577	infomap_73_OIL (ORGANIC SUBSTANCE)	73	OIL (ORGANIC SUBSTANCE)	1245	BUTTER	46	361	402
2578	infomap_32_HAND	32	HAND	1781	THUMB	85	772	831
2579	infomap_21_WORM	21	WORM	1504	FLY (INSECT)	110	1383	1751
2580	infomap_104_STRING	104	STRING	2973	STRAP	23	127	138
2581	infomap_94_TOMORROW	94	TOMORROW	1329	TOMORROW	118	1638	1742
2582	infomap_24_MOUTH	24	MOUTH	1567	DOOR	101	1091	1442
2583	infomap_53_HEAD	53	HEAD	1605	SKULL	56	360	438
2584	infomap_26_PERSON	26	PERSON	1200	HUSBAND	103	1263	1536
2585	infomap_71_BAD	71	BAD	1412	RUDE	2	15	17
2586	infomap_27_FUR	27	FUR	1257	WING	142	1839	2037
2587	infomap_103_PINE	103	PINE	1950	BEECH	15	232	247
2588	infomap_168_VULVA	168	VULVA	1836	VAGINA	32	245	282
2589	infomap_138_YAWN	138	YAWN	162	HICCOUGH	60	333	370
2590	infomap_7_SPEAK	7	SPEAK	1599	WORD	75	684	814
2591	infomap_62_FIFTY	62	FIFTY	1722	EIGHTY	24	315	325
2592	infomap_77_STINKING	77	STINKING	1808	PUS	61	433	479
